ID,year,i.vars.label,ivars_class,data.source,pid,pr_agree,year_1,year_2,year_3,ind,dem,new
117,1996,gov.spend.services,1,NES,props.i,0.322698267,0.2,0.04,0.008,1,0,3
118,1998,gov.spend.services,1,NES,props.i,0.516272577,0.4,0.16,0.064,1,0,3
119,2000,gov.spend.services,1,NES,props.i,0.544165609,0.6,0.36,0.216,1,0,3
120,2004,gov.spend.services,1,NES,props.i,0.531974554,1,1,1,1,0,3
121,2008,gov.spend.services,1,NES,props.i,0.544182488,1.4,1.96,2.744,1,0,3
122,2012,gov.spend.services,1,NES,props.i,0.307694295,1.8,3.24,5.832,1,0,3
123,2016,gov.spend.services,1,NES,props.i,0.479505039,2.2,4.84,10.648,1,0,3
124,1982,gov.spend.services,1,NES,props.r,0.132467532,-1.2,1.44,-1.728,0,0,3
125,1984,gov.spend.services,1,NES,props.r,0.203655352,-1,1,-1,0,0,3
126,1986,gov.spend.services,1,NES,props.r,0.30404463,-0.8,0.64,-0.512,0,0,3
127,1988,gov.spend.services,1,NES,props.r,0.235294118,-0.6,0.36,-0.216,0,0,3
128,1990,gov.spend.services,1,NES,props.r,0.301458671,-0.4,0.16,-0.064,0,0,3
129,1992,gov.spend.services,1,NES,props.r,0.225956103,-0.2,0.04,-0.008,0,0,3
130,1994,gov.spend.services,1,NES,props.r,0.199434303,0,0,0,0,0,3
131,1996,gov.spend.services,1,NES,props.r,0.190557336,0.2,0.04,0.008,0,0,3
132,1998,gov.spend.services,1,NES,props.r,0.323903137,0.4,0.16,0.064,0,0,3
133,2000,gov.spend.services,1,NES,props.r,0.236169021,0.6,0.36,0.216,0,0,3
134,2004,gov.spend.services,1,NES,props.r,0.323457457,1,1,1,0,0,3
135,2008,gov.spend.services,1,NES,props.r,0.266876393,1.4,1.96,2.744,0,0,3
136,2012,gov.spend.services,1,NES,props.r,0.120722206,1.8,3.24,5.832,0,0,3
137,2016,gov.spend.services,1,NES,props.r,0.136668839,2.2,4.84,10.648,0,0,3
138,1992,immigration.level,1,NES,props.d,0.102144768,-0.2,0.04,-0.008,0,1,4
139,1994,immigration.level,1,NES,props.d,0.055269662,0,0,0,0,1,4
140,1996,immigration.level,1,NES,props.d,0.056956247,0.2,0.04,0.008,0,1,4
141,1998,immigration.level,1,NES,props.d,0.115798764,0.4,0.16,0.064,0,1,4
142,2000,immigration.level,1,NES,props.d,0.097937541,0.6,0.36,0.216,0,1,4
143,2004,immigration.level,1,NES,props.d,0.123440725,1,1,1,0,1,4
144,2008,immigration.level,1,NES,props.d,0.161022126,1.4,1.96,2.744,0,1,4
145,2012,immigration.level,1,NES,props.d,0.187524782,1.8,3.24,5.832,0,1,4
146,2016,immigration.level,1,NES,props.d,0.251252749,2.2,4.84,10.648,0,1,4
147,1992,immigration.level,1,NES,props.i,0.059580083,-0.2,0.04,-0.008,1,0,4
148,1994,immigration.level,1,NES,props.i,0.015469926,0,0,0,1,0,4
149,1996,immigration.level,1,NES,props.i,0.064187589,0.2,0.04,0.008,1,0,4
150,1998,immigration.level,1,NES,props.i,0.093197026,0.4,0.16,0.064,1,0,4
151,2000,immigration.level,1,NES,props.i,0.101229451,0.6,0.36,0.216,1,0,4
152,2004,immigration.level,1,NES,props.i,0.048338963,1,1,1,1,0,4
153,2008,immigration.level,1,NES,props.i,0.103061249,1.4,1.96,2.744,1,0,4
154,2012,immigration.level,1,NES,props.i,0.090357034,1.8,3.24,5.832,1,0,4
155,2016,immigration.level,1,NES,props.i,0.18424656,2.2,4.84,10.648,1,0,4
156,1992,immigration.level,1,NES,props.r,0.057218194,-0.2,0.04,-0.008,0,0,4
157,1994,immigration.level,1,NES,props.r,0.058001377,0,0,0,0,0,4
158,1996,immigration.level,1,NES,props.r,0.049120311,0.2,0.04,0.008,0,0,4
159,1998,immigration.level,1,NES,props.r,0.103054909,0.4,0.16,0.064,0,0,4
160,2000,immigration.level,1,NES,props.r,0.067556408,0.6,0.36,0.216,0,0,4
161,2004,immigration.level,1,NES,props.r,0.078305192,1,1,1,0,0,4
162,2008,immigration.level,1,NES,props.r,0.128418517,1.4,1.96,2.744,0,0,4
163,2012,immigration.level,1,NES,props.r,0.110150296,1.8,3.24,5.832,0,0,4
164,2016,immigration.level,1,NES,props.r,0.056169993,2.2,4.84,10.648,0,0,4
165,1992,FS.poor,1,NES,props.d,0.697671854,-0.2,0.04,-0.008,0,1,5
166,1996,FS.poor,1,NES,props.d,0.623076883,0.2,0.04,0.008,0,1,5
167,2000,FS.poor,1,NES,props.d,0.640508783,0.6,0.36,0.216,0,1,5
168,2002,FS.poor,1,NES,props.d,0.678928552,0.8,0.64,0.512,0,1,5
169,2004,FS.poor,1,NES,props.d,0.706954593,1,1,1,0,1,5
170,2008,FS.poor,1,NES,props.d,0.747838617,1.4,1.96,2.744,0,1,5
171,2012,FS.poor,1,NES,props.d,0.592645471,1.8,3.24,5.832,0,1,5
172,2016,FS.poor,1,NES,props.d,0.721221789,2.2,4.84,10.648,0,1,5
173,1992,FS.poor,1,NES,props.i,0.580946161,-0.2,0.04,-0.008,1,0,5
174,1996,FS.poor,1,NES,props.i,0.568459311,0.2,0.04,0.008,1,0,5
175,2000,FS.poor,1,NES,props.i,0.544890379,0.6,0.36,0.216,1,0,5
176,2002,FS.poor,1,NES,props.i,0.581079391,0.8,0.64,0.512,1,0,5
177,2004,FS.poor,1,NES,props.i,0.626132663,1,1,1,1,0,5
178,2008,FS.poor,1,NES,props.i,0.609057443,1.4,1.96,2.744,1,0,5
179,2012,FS.poor,1,NES,props.i,0.562237097,1.8,3.24,5.832,1,0,5
180,2016,FS.poor,1,NES,props.i,0.667521743,2.2,4.84,10.648,1,0,5
181,1992,FS.poor,1,NES,props.r,0.344472287,-0.2,0.04,-0.008,0,0,5
182,1996,FS.poor,1,NES,props.r,0.296387151,0.2,0.04,0.008,0,0,5
183,2000,FS.poor,1,NES,props.r,0.396175535,0.6,0.36,0.216,0,0,5
184,2002,FS.poor,1,NES,props.r,0.463191394,0.8,0.64,0.512,0,0,5
185,2004,FS.poor,1,NES,props.r,0.4185067,1,1,1,0,0,5
186,2008,FS.poor,1,NES,props.r,0.42504716,1.4,1.96,2.744,0,0,5
187,2012,FS.poor,1,NES,props.r,0.238580218,1.8,3.24,5.832,0,0,5
188,2016,FS.poor,1,NES,props.r,0.355790279,2.2,4.84,10.648,0,0,5
189,1988,FS.childcare,1,NES,props.d,0.663419913,-0.6,0.36,-0.216,0,1,6
190,1990,FS.childcare,1,NES,props.d,0.626384693,-0.4,0.16,-0.064,0,1,6
191,1992,FS.childcare,1,NES,props.d,0.616315215,-0.2,0.04,-0.008,0,1,6
192,1994,FS.childcare,1,NES,props.d,0.681201468,0,0,0,0,1,6
193,1996,FS.childcare,1,NES,props.d,0.642014995,0.2,0.04,0.008,0,1,6
194,2000,FS.childcare,1,NES,props.d,0.721233326,0.6,0.36,0.216,0,1,6
195,2002,FS.childcare,1,NES,props.d,0.662694815,0.8,0.64,0.512,0,1,6
196,2004,FS.childcare,1,NES,props.d,0.726728806,1,1,1,0,1,6
197,2008,FS.childcare,1,NES,props.d,0.704278644,1.4,1.96,2.744,0,1,6
198,2012,FS.childcare,1,NES,props.d,0.648822158,1.8,3.24,5.832,0,1,6
199,2016,FS.childcare,1,NES,props.d,0.744325838,2.2,4.84,10.648,0,1,6
200,1988,FS.childcare,1,NES,props.i,0.54185022,-0.6,0.36,-0.216,1,0,6
201,1990,FS.childcare,1,NES,props.i,0.541666667,-0.4,0.16,-0.064,1,0,6
202,1992,FS.childcare,1,NES,props.i,0.511909914,-0.2,0.04,-0.008,1,0,6
203,1994,FS.childcare,1,NES,props.i,0.650584949,0,0,0,1,0,6
204,1996,FS.childcare,1,NES,props.i,0.591343624,0.2,0.04,0.008,1,0,6
205,2000,FS.childcare,1,NES,props.i,0.664209971,0.6,0.36,0.216,1,0,6
206,2002,FS.childcare,1,NES,props.i,0.623480991,0.8,0.64,0.512,1,0,6
207,2004,FS.childcare,1,NES,props.i,0.671257862,1,1,1,1,0,6
208,2008,FS.childcare,1,NES,props.i,0.630040079,1.4,1.96,2.744,1,0,6
209,2012,FS.childcare,1,NES,props.i,0.588058745,1.8,3.24,5.832,1,0,6
210,2016,FS.childcare,1,NES,props.i,0.618701669,2.2,4.84,10.648,1,0,6
211,1988,FS.childcare,1,NES,props.r,0.490660025,-0.6,0.36,-0.216,0,0,6
212,1990,FS.childcare,1,NES,props.r,0.417630058,-0.4,0.16,-0.064,0,0,6
213,1992,FS.childcare,1,NES,props.r,0.345886436,-0.2,0.04,-0.008,0,0,6
214,1994,FS.childcare,1,NES,props.r,0.437596398,0,0,0,0,0,6
215,1996,FS.childcare,1,NES,props.r,0.382133227,0.2,0.04,0.008,0,0,6
216,2000,FS.childcare,1,NES,props.r,0.517507747,0.6,0.36,0.216,0,0,6
217,2002,FS.childcare,1,NES,props.r,0.476350912,0.8,0.64,0.512,0,0,6
218,2004,FS.childcare,1,NES,props.r,0.444338701,1,1,1,0,0,6
219,2008,FS.childcare,1,NES,props.r,0.385124838,1.4,1.96,2.744,0,0,6
220,2012,FS.childcare,1,NES,props.r,0.338985785,1.8,3.24,5.832,0,0,6
221,2016,FS.childcare,1,NES,props.r,0.463557232,2.2,4.84,10.648,0,0,6
222,1988,FS.aids,1,NES,props.d,0.792432432,-0.6,0.36,-0.216,0,1,7
223,1990,FS.aids,1,NES,props.d,0.718338399,-0.4,0.16,-0.064,0,1,7
224,1992,FS.aids,1,NES,props.d,0.697448846,-0.2,0.04,-0.008,0,1,7
225,1994,FS.aids,1,NES,props.d,0.615207191,0,0,0,0,1,7
226,1996,FS.aids,1,NES,props.d,0.643970165,0.2,0.04,0.008,0,1,7
227,2000,FS.aids,1,NES,props.d,0.605917836,0.6,0.36,0.216,0,1,7
228,2002,FS.aids,1,NES,props.d,0.587289595,0.8,0.64,0.512,0,1,7
229,1988,FS.aids,1,NES,props.i,0.785388128,-0.6,0.36,-0.216,1,0,7
230,1990,FS.aids,1,NES,props.i,0.609302326,-0.4,0.16,-0.064,1,0,7
231,1992,FS.aids,1,NES,props.i,0.60071303,-0.2,0.04,-0.008,1,0,7
232,1994,FS.aids,1,NES,props.i,0.586027321,0,0,0,1,0,7
233,1996,FS.aids,1,NES,props.i,0.56681979,0.2,0.04,0.008,1,0,7
234,2000,FS.aids,1,NES,props.i,0.552099701,0.6,0.36,0.216,1,0,7
235,2002,FS.aids,1,NES,props.i,0.419094103,0.8,0.64,0.512,1,0,7
236,1988,FS.aids,1,NES,props.r,0.657568238,-0.6,0.36,-0.216,0,0,7
237,1990,FS.aids,1,NES,props.r,0.548710602,-0.4,0.16,-0.064,0,0,7
238,1992,FS.aids,1,NES,props.r,0.518107126,-0.2,0.04,-0.008,0,0,7
239,1994,FS.aids,1,NES,props.r,0.386179556,0,0,0,0,0,7
240,1996,FS.aids,1,NES,props.r,0.477784971,0.2,0.04,0.008,0,0,7
241,2000,FS.aids,1,NES,props.r,0.409293225,0.6,0.36,0.216,0,0,7
242,2002,FS.aids,1,NES,props.r,0.275150627,0.8,0.64,0.512,0,0,7
243,1984,FS.public.schools,1,NES,props.d,0.61774744,-1,1,-1,0,1,8
244,1988,FS.public.schools,1,NES,props.d,0.747065101,-0.6,0.36,-0.216,0,1,8
245,1990,FS.public.schools,1,NES,props.d,0.711557789,-0.4,0.16,-0.064,0,1,8
246,1992,FS.public.schools,1,NES,props.d,0.747685569,-0.2,0.04,-0.008,0,1,8
247,1994,FS.public.schools,1,NES,props.d,0.787867053,0,0,0,0,1,8
248,1996,FS.public.schools,1,NES,props.d,0.783868536,0.2,0.04,0.008,0,1,8
249,2000,FS.public.schools,1,NES,props.d,0.82736587,0.6,0.36,0.216,0,1,8
250,2002,FS.public.schools,1,NES,props.d,0.800606157,0.8,0.64,0.512,0,1,8
251,2004,FS.public.schools,1,NES,props.d,0.866500516,1,1,1,0,1,8
252,2008,FS.public.schools,1,NES,props.d,0.834930178,1.4,1.96,2.744,0,1,8
253,2012,FS.public.schools,1,NES,props.d,0.853415351,1.8,3.24,5.832,0,1,8
